codigo_municipio,uf,nome_municipio,municipio_uf,,,,,,,,,,,,,,
1200401,Acre,Rio Branco,Rio Branco - Acre,,,,,,,,,,,,,,
1200427,Acre,Rodrigues Alves,Rodrigues Alves - Acre,,,,,,,,,,,,,,
1200435,Acre,Santa Rosa do Purus,Santa Rosa do Purus - Acre,,,,,,,,,,,,,,
1200500,Acre,Sena Madureira,Sena Madureira - Acre,,,,,,,,,,,,,,
1200450,Acre,Senador Guiomard,Senador Guiomard - Acre,,,,,,,,,,,,,,
1200609,Acre,Tarauacá,Tarauacá - Acre,,,,,,,,,,,,,,
1200708,Acre,Xapuri,Xapuri - Acre,,,,,,,,,,,,,,
1300029,Amazonas,Alvarães,Alvarães - Amazonas,,,,,,,,,,,,,,
1300060,Amazonas,Amaturá,Amaturá - Amazonas,,,,,,,,,,,,,,
1300086,Amazonas,Anamã,Anamã - Amazonas,,,,,,,,,,,,,,
1300102,Amazonas,Anori,Anori - Amazonas,,,,,,,,,,,,,,
1300144,Amazonas,Apuí,Apuí - Amazonas,,,,,,,,,,,,,,
1300201,Amazonas,Atalaia do Norte,Atalaia do Norte - Amazonas,,,,,,,,,,,,,,
1300300,Amazonas,Autazes,Autazes - Amazonas,,,,,,,,,,,,,,
1300409,Amazonas,Barcelos,Barcelos - Amazonas,,,,,,,,,,,,,,
1300508,Amazonas,Barreirinha,Barreirinha - Amazonas,,,,,,,,,,,,,,
1300607,Amazonas,Benjamin Constant,Benjamin Constant - Amazonas,,,,,,,,,,,,,,
1300631,Amazonas,Beruri,Beruri - Amazonas,,,,,,,,,,,,,,
1300680,Amazonas,Boa Vista do Ramos,Boa Vista do Ramos - Amazonas,,,,,,,,,,,,,,
1300706,Amazonas,Boca do Acre,Boca do Acre - Amazonas,,,,,,,,,,,,,,
1300805,Amazonas,Borba,Borba - Amazonas,,,,,,,,,,,,,,
1300839,Amazonas,Caapiranga,Caapiranga - Amazonas,,,,,,,,,,,,,,
1300904,Amazonas,Canutama,Canutama - Amazonas,,,,,,,,,,,,,,
1301001,Amazonas,Carauari,Carauari - Amazonas,,,,,,,,,,,,,,
1301100,Amazonas,Careiro,Careiro - Amazonas,,,,,,,,,,,,,,
1301159,Amazonas,Careiro da Várzea,Careiro da Várzea - Amazonas,,,,,,,,,,,,,,
1301209,Amazonas,Coari,Coari - Amazonas,,,,,,,,,,,,,,
1301308,Amazonas,Codajás,Codajás - Amazonas,,,,,,,,,,,,,,
1301407,Amazonas,Eirunepé,Eirunepé - Amazonas,,,,,,,,,,,,,,
1301506,Amazonas,Envira,Envira - Amazonas,,,,,,,,,,,,,,
1301605,Amazonas,Fonte Boa,Fonte Boa - Amazonas,,,,,,,,,,,,,,
1301654,Amazonas,Guajará,Guajará - Amazonas,,,,,,,,,,,,,,
1301704,Amazonas,Humaitá,Humaitá - Amazonas,,,,,,,,,,,,,,
1301803,Amazonas,Ipixuna,Ipixuna - Amazonas,,,,,,,,,,,,,,
1301852,Amazonas,Iranduba,Iranduba - Amazonas,,,,,,,,,,,,,,
1301902,Amazonas,Itacoatiara,Itacoatiara - Amazonas,,,,,,,,,,,,,,
1301951,Amazonas,Itamarati,Itamarati - Amazonas,,,,,,,,,,,,,,
1302009,Amazonas,Itapiranga,Itapiranga - Amazonas,,,,,,,,,,,,,,
1302108,Amazonas,Japurá,Japurá - Amazonas,,,,,,,,,,,,,,
1302207,Amazonas,Juruá,Juruá - Amazonas,,,,,,,,,,,,,,
1302306,Amazonas,Jutaí,Jutaí - Amazonas,,,,,,,,,,,,,,
1302405,Amazonas,Lábrea,Lábrea - Amazonas,,,,,,,,,,,,,,
1302504,Amazonas,Manacapuru,Manacapuru - Amazonas,,,,,,,,,,,,,,
1302553,Amazonas,Manaquiri,Manaquiri - Amazonas,,,,,,,,,,,,,,
1302603,Amazonas,Manaus,Manaus - Amazonas,,,,,,,,,,,,,,
1302702,Amazonas,Manicoré,Manicoré - Amazonas,,,,,,,,,,,,,,
1302801,Amazonas,Maraã,Maraã - Amazonas,,,,,,,,,,,,,,
1302900,Amazonas,Maués,Maués - Amazonas,,,,,,,,,,,,,,
1303007,Amazonas,Nhamundá,Nhamundá - Amazonas,,,,,,,,,,,,,,
1303106,Amazonas,Nova Olinda do Norte,Nova Olinda do Norte - Amazonas,,,,,,,,,,,,,,
1303205,Amazonas,Novo Airão,Novo Airão - Amazonas,,,,,,,,,,,,,,
1303304,Amazonas,Novo Aripuanã,Novo Aripuanã - Amazonas,,,,,,,,,,,,,,
1303403,Amazonas,Parintins,Parintins - Amazonas,,,,,,,,,,,,,,
1303502,Amazonas,Pauini,Pauini - Amazonas,,,,,,,,,,,,,,
1303536,Amazonas,Presidente Figueiredo,Presidente Figueiredo - Amazonas,,,,,,,,,,,,,,
1303569,Amazonas,Rio Preto da Eva,Rio Preto da Eva - Amazonas,,,,,,,,,,,,,,
1303601,Amazonas,Santa Isabel do Rio Negro,Santa Isabel do Rio Negro - Amazonas,,,,,,,,,,,,,,
1303700,Amazonas,Santo Antônio do Içá,Santo Antônio do Içá - Amazonas,,,,,,,,,,,,,,
1303809,Amazonas,São Gabriel da Cachoeira,São Gabriel da Cachoeira - Amazonas,,,,,,,,,,,,,,
1303908,Amazonas,São Paulo de Olivença,São Paulo de Olivença - Amazonas,,,,,,,,,,,,,,
1303957,Amazonas,São Sebastião do Uatumã,São Sebastião do Uatumã - Amazonas,,,,,,,,,,,,,,
1304005,Amazonas,Silves,Silves - Amazonas,,,,,,,,,,,,,,
1304062,Amazonas,Tabatinga,Tabatinga - Amazonas,,,,,,,,,,,,,,
1304104,Amazonas,Tapauá,Tapauá - Amazonas,,,,,,,,,,,,,,
1304203,Amazonas,Tefé,Tefé - Amazonas,,,,,,,,,,,,,,
1304237,Amazonas,Tonantins,Tonantins - Amazonas,,,,,,,,,,,,,,
1304260,Amazonas,Uarini,Uarini - Amazonas,,,,,,,,,,,,,,
1304302,Amazonas,Urucará,Urucará - Amazonas,,,,,,,,,,,,,,
1304401,Amazonas,Urucurituba,Urucurituba - Amazonas,,,,,,,,,,,,,,
1400050,Roraima,Alto Alegre,Alto Alegre - Roraima,,,,,,,,,,,,,,
1400027,Roraima,Amajari,Amajari - Roraima,,,,,,,,,,,,,,
1400100,Roraima,Boa Vista,Boa Vista - Roraima,,,,,,,,,,,,,,
1400159,Roraima,Bonfim,Bonfim - Roraima,,,,,,,,,,,,,,
1400175,Roraima,Cantá,Cantá - Roraima,,,,,,,,,,,,,,
1400209,Roraima,Caracaraí,Caracaraí - Roraima,,,,,,,,,,,,,,
1400233,Roraima,Caroebe,Caroebe - Roraima,,,,,,,,,,,,,,
1400282,Roraima,Iracema,Iracema - Roraima,,,,,,,,,,,,,,
1400308,Roraima,Mucajaí,Mucajaí - Roraima,,,,,,,,,,,,,,
1400407,Roraima,Normandia,Normandia - Roraima,,,,,,,,,,,,,,
1400456,Roraima,Pacaraima,Pacaraima - Roraima,,,,,,,,,,,,,,
1400472,Roraima,Rorainópolis,Rorainópolis - Roraima,,,,,,,,,,,,,,
1400506,Roraima,São João da Baliza,São João da Baliza - Roraima,,,,,,,,,,,,,,
1400605,Roraima,São Luiz,São Luiz - Roraima,,,,,,,,,,,,,,
1400704,Roraima,Uiramutã,Uiramutã - Roraima,,,,,,,,,,,,,,
1500107,Pará,Abaetetuba,Abaetetuba - Pará,,,,,,,,,,,,,,
1500131,Pará,Abel Figueiredo,Abel Figueiredo - Pará,,,,,,,,,,,,,,
1500206,Pará,Acará,Acará - Pará,,,,,,,,,,,,,,
1500305,Pará,Afuá,Afuá - Pará,,,,,,,,,,,,,,
1500347,Pará,Água Azul do Norte,Água Azul do Norte - Pará,,,,,,,,,,,,,,
1500404,Pará,Alenquer,Alenquer - Pará,,,,,,,,,,,,,,
1500503,Pará,Almeirim,Almeirim - Pará,,,,,,,,,,,,,,
1500602,Pará,Altamira,Altamira - Pará,,,,,,,,,,,,,,
1500701,Pará,Anajás,Anajás - Pará,,,,,,,,,,,,,,
1500800,Pará,Ananindeua,Ananindeua - Pará,,,,,,,,,,,,,,
1500859,Pará,Anapu,Anapu - Pará,,,,,,,,,,,,,,
1500909,Pará,Augusto Corrêa,Augusto Corrêa - Pará,,,,,,,,,,,,,,
1500958,Pará,Aurora do Pará,Aurora do Pará - Pará,,,,,,,,,,,,,,
1501006,Pará,Aveiro,Aveiro - Pará,,,,,,,,,,,,,,
1501105,Pará,Bagre,Bagre - Pará,,,,,,,,,,,,,,
1501204,Pará,Baião,Baião - Pará,,,,,,,,,,,,,,
1501253,Pará,Bannach,Bannach - Pará,,,,,,,,,,,,,,
1501303,Pará,Barcarena,Barcarena - Pará,,,,,,,,,,,,,,
1501402,Pará,Belém,Belém - Pará,,,,,,,,,,,,,,
1501451,Pará,Belterra,Belterra - Pará,,,,,,,,,,,,,,
1501501,Pará,Benevides,Benevides - Pará,,,,,,,,,,,,,,
1501576,Pará,Bom Jesus do Tocantins,Bom Jesus do Tocantins - Pará,,,,,,,,,,,,,,
1501600,Pará,Bonito,Bonito - Pará,,,,,,,,,,,,,,
1501709,Pará,Bragança,Bragança - Pará,,,,,,,,,,,,,,
1501725,Pará,Brasil Novo,Brasil Novo - Pará,,,,,,,,,,,,,,
1501758,Pará,Brejo Grande do Araguaia,Brejo Grande do Araguaia - Pará,,,,,,,,,,,,,,
1501782,Pará,Breu Branco,Breu Branco - Pará,,,,,,,,,,,,,,
1501808,Pará,Breves,Breves - Pará,,,,,,,,,,,,,,
1501907,Pará,Bujaru,Bujaru - Pará,,,,,,,,,,,,,,
1502004,Pará,Cachoeira do Arari,Cachoeira do Arari - Pará,,,,,,,,,,,,,,
1501956,Pará,Cachoeira do Piriá,Cachoeira do Piriá - Pará,,,,,,,,,,,,,,
1502103,Pará,Cametá,Cametá - Pará,,,,,,,,,,,,,,
1502152,Pará,Canaã dos Carajás,Canaã dos Carajás - Pará,,,,,,,,,,,,,,
1502202,Pará,Capanema,Capanema - Pará,,,,,,,,,,,,,,
1502301,Pará,Capitão Poço,Capitão Poço - Pará,,,,,,,,,,,,,,
1502400,Pará,Castanhal,Castanhal - Pará,,,,,,,,,,,,,,
1502509,Pará,Chaves,Chaves - Pará,,,,,,,,,,,,,,
1502608,Pará,Colares,Colares - Pará,,,,,,,,,,,,,,
1502707,Pará,Conceição do Araguaia,Conceição do Araguaia - Pará,,,,,,,,,,,,,,
1502756,Pará,Concórdia do Pará,Concórdia do Pará - Pará,,,,,,,,,,,,,,
1502764,Pará,Cumaru do Norte,Cumaru do Norte - Pará,,,,,,,,,,,,,,
1502772,Pará,Curionópolis,Curionópolis - Pará,,,,,,,,,,,,,,
1502806,Pará,Curralinho,Curralinho - Pará,,,,,,,,,,,,,,
1502855,Pará,Curuá,Curuá - Pará,,,,,,,,,,,,,,
1502905,Pará,Curuçá,Curuçá - Pará,,,,,,,,,,,,,,
1502939,Pará,Dom Eliseu,Dom Eliseu - Pará,,,,,,,,,,,,,,
1502954,Pará,Eldorado do Carajás,Eldorado do Carajás - Pará,,,,,,,,,,,,,,
1503002,Pará,Faro,Faro - Pará,,,,,,,,,,,,,,
1503044,Pará,Floresta do Araguaia,Floresta do Araguaia - Pará,,,,,,,,,,,,,,
1503077,Pará,Garrafão do Norte,Garrafão do Norte - Pará,,,,,,,,,,,,,,
1503093,Pará,Goianésia do Pará,Goianésia do Pará - Pará,,,,,,,,,,,,,,
1503101,Pará,Gurupá,Gurupá - Pará,,,,,,,,,,,,,,
1503200,Pará,Igarapé-Açu,Igarapé-Açu - Pará,,,,,,,,,,,,,,
1503309,Pará,Igarapé-Miri,Igarapé-Miri - Pará,,,,,,,,,,,,,,
1503408,Pará,Inhangapi,Inhangapi - Pará,,,,,,,,,,,,,,
1503457,Pará,Ipixuna do Pará,Ipixuna do Pará - Pará,,,,,,,,,,,,,,
1503507,Pará,Irituia,Irituia - Pará,,,,,,,,,,,,,,
1503606,Pará,Itaituba,Itaituba - Pará,,,,,,,,,,,,,,
1503705,Pará,Itupiranga,Itupiranga - Pará,,,,,,,,,,,,,,
1503754,Pará,Jacareacanga,Jacareacanga - Pará,,,,,,,,,,,,,,
1503804,Pará,Jacundá,Jacundá - Pará,,,,,,,,,,,,,,
1503903,Pará,Juruti,Juruti - Pará,,,,,,,,,,,,,,
1504000,Pará,Limoeiro do Ajuru,Limoeiro do Ajuru - Pará,,,,,,,,,,,,,,
1504059,Pará,Mãe do Rio,Mãe do Rio - Pará,,,,,,,,,,,,,,
1504109,Pará,Magalhães Barata,Magalhães Barata - Pará,,,,,,,,,,,,,,
1504208,Pará,Marabá,Marabá - Pará,,,,,,,,,,,,,,
1504307,Pará,Maracanã,Maracanã - Pará,,,,,,,,,,,,,,
1504406,Pará,Marapanim,Marapanim - Pará,,,,,,,,,,,,,,
1504422,Pará,Marituba,Marituba - Pará,,,,,,,,,,,,,,
1504455,Pará,Medicilândia,Medicilândia - Pará,,,,,,,,,,,,,,
1504505,Pará,Melgaço,Melgaço - Pará,,,,,,,,,,,,,,
1504604,Pará,Mocajuba,Mocajuba - Pará,,,,,,,,,,,,,,
1504703,Pará,Moju,Moju - Pará,,,,,,,,,,,,,,
1504752,Pará,Mojuí dos Campos,Mojuí dos Campos - Pará,,,,,,,,,,,,,,
1504802,Pará,Monte Alegre,Monte Alegre - Pará,,,,,,,,,,,,,,
1504901,Pará,Muaná,Muaná - Pará,,,,,,,,,,,,,,
1504950,Pará,Nova Esperança do Piriá,Nova Esperança do Piriá - Pará,,,,,,,,,,,,,,
1504976,Pará,Nova Ipixuna,Nova Ipixuna - Pará,,,,,,,,,,,,,,
1505007,Pará,Nova Timboteua,Nova Timboteua - Pará,,,,,,,,,,,,,,
1505031,Pará,Novo Progresso,Novo Progresso - Pará,,,,,,,,,,,,,,
1505064,Pará,Novo Repartimento,Novo Repartimento - Pará,,,,,,,,,,,,,,
1505106,Pará,Óbidos,Óbidos - Pará,,,,,,,,,,,,,,
1505205,Pará,Oeiras do Pará,Oeiras do Pará - Pará,,,,,,,,,,,,,,
1505304,Pará,Oriximiná,Oriximiná - Pará,,,,,,,,,,,,,,
1505403,Pará,Ourém,Ourém - Pará,,,,,,,,,,,,,,
1505437,Pará,Ourilândia do Norte,Ourilândia do Norte - Pará,,,,,,,,,,,,,,
1505486,Pará,Pacajá,Pacajá - Pará,,,,,,,,,,,,,,
1505494,Pará,Palestina do Pará,Palestina do Pará - Pará,,,,,,,,,,,,,,
1505502,Pará,Paragominas,Paragominas - Pará,,,,,,,,,,,,,,
1505536,Pará,Parauapebas,Parauapebas - Pará,,,,,,,,,,,,,,
1505551,Pará,Pau D'Arco,Pau D'Arco - Pará,,,,,,,,,,,,,,
1505601,Pará,Peixe-Boi,Peixe-Boi - Pará,,,,,,,,,,,,,,
1505635,Pará,Piçarra,Piçarra - Pará,,,,,,,,,,,,,,
1505650,Pará,Placas,Placas - Pará,,,,,,,,,,,,,,
1505700,Pará,Ponta de Pedras,Ponta de Pedras - Pará,,,,,,,,,,,,,,
1505809,Pará,Portel,Portel - Pará,,,,,,,,,,,,,,
1505908,Pará,Porto de Moz,Porto de Moz - Pará,,,,,,,,,,,,,,
1506005,Pará,Prainha,Prainha - Pará,,,,,,,,,,,,,,
1506104,Pará,Primavera,Primavera - Pará,,,,,,,,,,,,,,
1506112,Pará,Quatipuru,Quatipuru - Pará,,,,,,,,,,,,,,
1506138,Pará,Redenção,Redenção - Pará,,,,,,,,,,,,,,
1506161,Pará,Rio Maria,Rio Maria - Pará,,,,,,,,,,,,,,
1506187,Pará,Rondon do Pará,Rondon do Pará - Pará,,,,,,,,,,,,,,
1506195,Pará,Rurópolis,Rurópolis - Pará,,,,,,,,,,,,,,
1506203,Pará,Salinópolis,Salinópolis - Pará,,,,,,,,,,,,,,
1506302,Pará,Salvaterra,Salvaterra - Pará,,,,,,,,,,,,,,
1506351,Pará,Santa Bárbara do Pará,Santa Bárbara do Pará - Pará,,,,,,,,,,,,,,
1506401,Pará,Santa Cruz do Arari,Santa Cruz do Arari - Pará,,,,,,,,,,,,,,
1506500,Pará,Santa Izabel do Pará,Santa Izabel do Pará - Pará,,,,,,,,,,,,,,
1506559,Pará,Santa Luzia do Pará,Santa Luzia do Pará - Pará,,,,,,,,,,,,,,
1506583,Pará,Santa Maria das Barreiras,Santa Maria das Barreiras - Pará,,,,,,,,,,,,,,
1506609,Pará,Santa Maria do Pará,Santa Maria do Pará - Pará,,,,,,,,,,,,,,
1506708,Pará,Santana do Araguaia,Santana do Araguaia - Pará,,,,,,,,,,,,,,
1506807,Pará,Santarém,Santarém - Pará,,,,,,,,,,,,,,
1506906,Pará,Santarém Novo,Santarém Novo - Pará,,,,,,,,,,,,,,
1507003,Pará,Santo Antônio do Tauá,Santo Antônio do Tauá - Pará,,,,,,,,,,,,,,
1507102,Pará,São Caetano de Odivelas,São Caetano de Odivelas - Pará,,,,,,,,,,,,,,
1507151,Pará,São Domingos do Araguaia,São Domingos do Araguaia - Pará,,,,,,,,,,,,,,
1507201,Pará,São Domingos do Capim,São Domingos do Capim - Pará,,,,,,,,,,,,,,
1507300,Pará,São Félix do Xingu,São Félix do Xingu - Pará,,,,,,,,,,,,,,
1507409,Pará,São Francisco do Pará,São Francisco do Pará - Pará,,,,,,,,,,,,,,
1507458,Pará,São Geraldo do Araguaia,São Geraldo do Araguaia - Pará,,,,,,,,,,,,,,
1507466,Pará,São João da Ponta,São João da Ponta - Pará,,,,,,,,,,,,,,
1507474,Pará,São João de Pirabas,São João de Pirabas - Pará,,,,,,,,,,,,,,
